Feature Name                        Issue #  First Commit Timestamp     Latest Commit Timestamp
forget_unsized                      0        2019-05-29 10:00:13 +0200  2019-05-29 10:00:13 +0200
manually_drop_take                  55422    2019-05-29 10:00:13 +0200  2019-05-29 10:00:13 +0200
bound_cloned                        61356    2019-05-30 21:52:52 -0500  2019-05-30 21:52:52 -0500
boxed_slice_try_from                0        2019-06-04 08:15:47 -0400  2019-06-04 08:15:47 -0400
container_error_extra               0        2019-06-12 18:47:58 +0200  2019-06-12 18:47:58 +0200
slice_from_raw_parts                36925    2019-06-19 09:21:44 +0200  2019-06-19 09:21:44 +0200
vec_leak                            62195    2019-06-27 16:11:46 -0700  2019-06-27 16:11:46 -0700
iter_order_by                       0        2019-06-28 14:43:32 +0200  2019-06-28 14:43:32 +0200
asm                                 29722    2019-06-29 17:51:20 +0300  2019-06-29 17:51:20 +0300
concat_idents                       29599    2019-06-29 17:51:20 +0300  2019-06-29 17:51:20 +0300
custom_test_frameworks              50297    2019-06-29 17:51:20 +0300  2019-06-29 17:51:20 +0300
format_args_nl                      0        2019-06-29 17:51:20 +0300  2019-06-29 17:51:20 +0300
global_asm                          35119    2019-06-29 17:51:20 +0300  2019-06-29 17:51:20 +0300
log_syntax                          29598    2019-06-29 17:51:20 +0300  2019-06-29 17:51:20 +0300
trace_macros                        29598    2019-06-29 17:51:20 +0300  2019-06-29 17:51:20 +0300
option_result_contains              62358    2019-07-04 01:38:22 +0200  2019-07-04 01:38:22 +0200
result_contains_err                 62358    2019-07-04 01:38:22 +0200  2019-07-04 01:38:22 +0200
box_into_pin                        62370    2019-07-04 12:55:23 +0200  2019-07-04 12:55:23 +0200
slice_concat_trait                  27747    2019-07-05 11:38:40 +0200  2019-07-08 17:47:49 +0200
const_generic_impls_guard           0        2019-07-05 23:59:59 -0700  2019-07-05 23:59:59 -0700
slice_concat_ext                    27747    2019-07-08 18:12:06 +0200  2019-07-08 18:12:06 +0200
iter_partition_in_place             62543    2019-07-09 15:17:47 -0700  2019-07-09 15:17:47 -0700
iter_is_partitioned                 62544    2019-07-09 15:18:33 -0700  2019-07-09 15:18:33 -0700
option_expect_none                  62633    2019-07-12 13:07:53 -0700  2019-07-12 13:07:53 -0700
option_unwrap_none                  62633    2019-07-12 13:07:53 -0700  2019-07-12 13:07:53 -0700
internal_uninit_const               0        2019-07-21 12:59:51 +0200  2019-07-21 12:59:51 +0200
windows_by_handle                   63010    2019-07-25 09:44:04 -0700  2019-07-25 09:44:04 -0700
io_slice_advance                    62726    2019-07-25 22:30:52 +0200  2019-07-25 22:30:52 +0200
test                                50297    2019-07-27 15:06:49 +0300  2019-07-27 15:06:49 +0300
div_duration                        63139    2019-07-30 15:00:17 +0000  2019-07-30 15:00:17 +0000
result_cloned                       63168    2019-08-01 00:55:36 +0800  2019-08-01 00:55:36 +0800
result_copied                       63168    2019-08-01 00:55:36 +0800  2019-08-01 00:55:36 +0800
get_mut_unchecked                   63292    2019-08-05 17:45:30 +0200  2019-08-05 17:45:30 +0200
new_uninit                          63291    2019-08-05 17:45:30 +0200  2019-08-05 17:45:30 +0200
poll_map                            63514    2019-08-13 13:18:48 +0530  2019-08-13 13:18:48 +0530
maybe_uninit_extra                  63567    2019-08-14 20:07:37 +0200  2019-08-14 20:07:37 +0200
maybe_uninit_ref                    63568    2019-08-14 20:07:37 +0200  2019-08-14 20:07:37 +0200
maybe_uninit_slice                  63569    2019-08-14 20:07:37 +0200  2019-08-14 20:07:37 +0200
tidy_test_never_used_anywhere_else  58402    2019-09-05 01:25:07 +0300  2019-09-05 01:25:07 +0300
bool_to_option                      64260    2019-09-07 17:06:39 +0100  2019-09-07 17:06:39 +0100
