Status          Feature Name                        Version  Issue #  Edition      Latest Commit Timestamp
active          doc_masked                          1.21.0   44027    None         2018-03-06 16:02:58 -0800
active          doc_spotlight                       1.22.0   45040    None         2018-03-06 16:02:58 -0800
active          dropck_eyepatch                     1.10.0   34761    None         2018-03-06 16:02:58 -0800
active          dropck_parametricity                1.3.0    28498    None         2018-03-06 16:02:58 -0800
active          exclusive_range_pattern             1.11.0   37854    None         2018-03-06 16:02:58 -0800
active          exhaustive_integer_patterns         1.30.0   50907    None         2018-08-12 11:43:42 +0100
active          exhaustive_patterns                 1.13.0   51085    None         2018-05-26 23:39:31 +0800
active          existential_type                    1.28.0   34511    None         2018-07-03 19:38:14 +0200
active          external_doc                        1.22.0   44732    None         2018-03-06 16:02:58 -0800
active          extern_in_paths                     1.23.0   44660    None         2018-03-06 16:02:58 -0800
active          extern_types                        1.23.0   43467    None         2018-03-06 16:02:58 -0800
active          format_args_nl                      1.29.0   None     None         2018-07-21 15:50:46 -0700
active          fundamental                         1.0.0    29635    None         2018-03-06 16:02:58 -0800
active          generators                          1.21.0   43122    None         2018-05-26 23:39:31 +0800
active          generic_associated_types            1.23.0   44265    None         2018-03-06 16:02:58 -0800
active          global_asm                          1.18.0   35119    None         2018-03-06 16:02:58 -0800
active          hexagon_target_feature              1.27.0   44839    None         2018-05-26 23:39:31 +0800
active          if_while_or_patterns                1.26.0   48215    None         2018-03-06 16:02:58 -0800
active          impl_header_lifetime_elision        1.30.0   15872    Edition2018  2018-08-03 00:08:44 -0700
active          impl_trait_in_bindings              1.30.0   34511    None         2018-09-08 07:52:03 +0100
active          in_band_lifetimes                   1.23.0   44524    None         2018-08-04 00:36:46 -0700
active          infer_static_outlives_requirements  1.26.0   44493    None         2018-07-26 20:25:27 -0400
active          intrinsics                          1.0.0    None     None         2018-03-06 16:02:58 -0800
active          irrefutable_let_patterns            1.27.0   44495    None         2018-06-08 11:25:35 -0400
active          label_break_value                   1.28.0   48594    None         2018-05-12 11:33:33 +0200
active          lang_items                          1.0.0    None     None         2018-03-06 16:02:58 -0800
active          linkage                             1.0.0    29603    None         2018-03-06 16:02:58 -0800
active          link_args                           1.0.0    29596    None         2018-03-06 16:02:58 -0800
active          link_cfg                            1.14.0   37406    None         2018-03-06 16:02:58 -0800
active          link_llvm_intrinsics                1.0.0    29602    None         2018-03-06 16:02:58 -0800
active          log_syntax                          1.0.0    29598    None         2018-03-06 16:02:58 -0800
active          macro_at_most_once_rep              1.25.0   48075    None         2018-03-06 16:02:58 -0800
active          macro_literal_matcher               1.27.0   35625    None         2018-04-10 02:08:47 +0300
active          macros_in_extern                    1.27.0   49476    None         2018-03-10 18:16:26 -0800
active          main                                1.0.0    29634    None         2018-03-06 16:02:58 -0800
active          marker_trait_attr                   1.30.0   29864    None         2018-08-25 00:54:41 -0700
active          mips_target_feature                 1.27.0   44839    None         2018-05-26 23:39:31 +0800
active          mmx_target_feature                  1.27.0   44839    None         2018-05-26 23:39:31 +0800
active          naked_functions                     1.9.0    32408    None         2018-03-06 16:02:58 -0800
active          needs_allocator                     1.4.0    27389    None         2018-03-06 16:02:58 -0800
active          needs_panic_runtime                 1.10.0   32837    None         2018-03-06 16:02:58 -0800
active          never_type                          1.13.0   35121    None         2018-04-20 17:07:58 +0200
active          nll                                 1.0.0    43234    None         2018-05-10 08:44:20 -0700
active          no_core                             1.3.0    29639    None         2018-03-06 16:02:58 -0800
active          no_debug                            1.5.0    29721    None         2018-03-06 16:02:58 -0800
active          non_ascii_idents                    1.0.0    28979    None         2018-03-06 16:02:58 -0800
active          non_exhaustive                      1.22.0   44109    None         2018-03-06 16:02:58 -0800
active          omit_gdb_pretty_printer_section     1.5.0    None     None         2018-03-06 16:02:58 -0800
active          on_unimplemented                    1.0.0    29628    None         2018-03-06 16:02:58 -0800
active          optin_builtin_traits                1.0.0    13231    None         2018-03-06 16:02:58 -0800
active          overlapping_marker_traits           1.18.0   29864    None         2018-03-06 16:02:58 -0800
active          panic_implementation                1.28.0   44489    None         2018-04-30 10:55:24 +0200
active          panic_runtime                       1.10.0   32837    None         2018-03-06 16:02:58 -0800
active          platform_intrinsics                 1.4.0    27731    None         2018-03-06 16:02:58 -0800
active          plugin                              1.0.0    29597    None         2018-03-06 16:02:58 -0800
active          plugin_registrar                    1.0.0    29597    None         2018-03-06 16:02:58 -0800
active          powerpc_target_feature              1.27.0   44839    None         2018-05-26 23:39:31 +0800
active          prelude_import                      1.2.0    None     None         2018-03-06 16:02:58 -0800
active          proc_macro_hygiene                  1.30.0   54727    None         2018-07-05 19:09:35 -0600
active          profiler_runtime                    1.18.0   None     None         2018-03-06 16:02:58 -0800
active          quote                               1.0.0    29601    None         2018-03-06 16:02:58 -0800
active          repr128                             1.16.0   35118    None         2018-03-06 16:02:58 -0800
active          repr_packed                         1.26.0   33158    None         2018-02-04 22:10:28 +1100
active          repr_simd                           1.4.0    27731    None         2018-03-06 16:02:58 -0800
active          rustc_attrs                         1.0.0    29642    None         2018-03-06 16:02:58 -0800
active          rustc_const_unstable                1.0.0    None     None         2018-03-06 16:02:58 -0800
active          rustc_diagnostic_macros             1.0.0    None     None         2018-03-06 16:02:58 -0800
active          sanitizer_runtime                   1.17.0   None     None         2018-03-06 16:02:58 -0800
active          self_in_typedefs                    1.30.0   49303    None         2018-08-14 18:45:44 +0100
active          self_struct_ctor                    1.30.0   51994    None         2018-09-08 07:52:03 +0100
active          simd_ffi                            1.0.0    27731    None         2018-03-06 16:02:58 -0800
active          slice_patterns                      1.0.0    23121    None         2018-03-06 16:02:58 -0800
active          specialization                      1.7.0    31844    None         2018-03-06 16:02:58 -0800
active          sse4a_target_feature                1.27.0   44839    None         2018-05-26 23:39:31 +0800
active          staged_api                          1.0.0    None     None         2018-03-06 16:02:58 -0800
active          start                               1.0.0    29633    None         2018-03-06 16:02:58 -0800
active          static_nobundle                     1.16.0   37403    None         2018-03-06 16:02:58 -0800
active          stmt_expr_attributes                1.6.0    15701    None         2018-03-06 16:02:58 -0800
active          structural_match                    1.8.0    31434    None         2018-03-06 16:02:58 -0800
active          tbm_target_feature                  1.27.0   44839    None         2018-05-26 23:39:31 +0800
active          thread_local                        1.0.0    29594    None         2018-03-06 16:02:58 -0800
